lambda,nu,beta,aic
0.01235543887981711,0.8065688453586771,0.39286372273721215,-624.0301467288596
0.0125,1,0.3936809720190827,-758.5216764118327
-0.24710954236797997,0.988727100472895,0.3920048871539034,-575.819322973578
-0.34646760513886626,0.9515837188314218,0.394841384437585,-586.3254382296745
0.01167552394975542,0.821571798652579,0.3816553578795858,-528.2113157502363
0.02810778617859034,0.8687680244445852,0.3928900720642997,-753.9822282317546
0.032421875,0.95078125,0.38262521269548183,-650.5651925070733
0.00600890011992495,1.0398622336331915,0.3942451783634324,-616.8561614291671
-0.2985817000274395,0.858885809779546,0.3838366855217463,-574.1648577467304
0.00625805854797363,0.9387228965759276,0.39214627725240025,-816.788416819028
-0.3866354816302189,1.0662360335118135,0.3964717942256408,-706.9431335474073
-0.3322158813476561,0.9431549072265636,0.39381064004426447,-801.1043518457818
-0.09006271362304688,1.0163742065429688,0.3815737457615061,-579.3772633933945
-0.02651481628417968,0.8695671081542966,0.3939367357557964,-552.3701405651409
-0.01836135360062757,0.8282651888789082,0.38396060521139,-452.18384224094143
0.00476642251014709,0.8769583821296691,0.38970818983753464,-802.1249576435202
-0.25572383403778065,1.0977756023406982,0.38671294267528605,-721.6934990508062
-0.03359374969564405,0.8359374998113955,0.3894658175612448,-816.8794081209808
0.07176831960678101,1.0040800333023063,0.3943862065011589,-904.8066298078191
-0.2974510642466066,1.007968513714688,0.390230751867588,-656.2935704173742
-0.4033447265625002,1.0830566406249984,0.3920116008100866,-808.179120070487
-0.4312763214111332,0.8116645812988235,0.3977724577129716,-434.89838901409985
0.0166015625,0.958984375,0.3897210294044542,-592.9176889229389
0.6892706871035114,0.7734247207643156,0.38897784046409234,-916.5828161351678
0.00328197479248046,0.8833217620849609,0.3972828795377999,-606.8441123799807
-0.510421884059906,1.0213264226913494,0.3868679613062345,-593.4137326924329
0.10324420922072412,0.9385967254591808,0.3941642674785869,-697.0463563846779
-0.03515625,0.9015624999999998,0.3844760749988748,-886.9845201381218
-0.26203613281250004,0.8820800781250011,0.3895404434483277,-688.6098568870457
0.05582887775065029,0.877522832282198,0.3882810584977137,-736.2712741635755
0.02302298544898426,0.9711388588025204,0.3934025567461056,-855.3974491157792
